CustomerID,CustomerName,City,Age
1,Customer_1,Delhi,19
2,Customer_2,Chennai,33
3,Customer_3,Pune,26
4,Customer_4,Delhi,61
5,Customer_5,Delhi,55
6,Customer_6,Kolkata,20
7,Customer_7,Mumbai,23
8,Customer_8,Pune,32
9,Customer_9,Mumbai,53
10,Customer_10,Pune,63
11,Customer_11,Kolkata,32
12,Customer_12,Ahmedabad,55
13,Customer_13,Chennai,69
14,Customer_14,Mumbai,66
15,Customer_15,Bengaluru,62
16,Customer_16,Kolkata,39
17,Customer_17,Chennai,27
18,Customer_18,Pune,66
19,Customer_19,Hyderabad,24
20,Customer_20,Delhi,42
21,Customer_21,Delhi,40
22,Customer_22,Hyderabad,56
23,Customer_23,Chennai,69
24,Customer_24,Mumbai,64
25,Customer_25,Ahmedabad,52
26,Customer_26,Delhi,42
27,Customer_27,Delhi,53
28,Customer_28,Chennai,58
29,Customer_29,Hyderabad,54
30,Customer_30,Pune,63
31,Customer_31,Delhi,20
32,Customer_32,Pune,67
33,Customer_33,Chennai,23
34,Customer_34,Pune,24
35,Customer_35,Kolkata,35
36,Customer_36,Ahmedabad,58
37,Customer_37,Hyderabad,28
38,Customer_38,Hyderabad,40
39,Customer_39,Pune,60
40,Customer_40,Chennai,62
41,Customer_41,Delhi,56
42,Customer_42,Bengaluru,52
43,Customer_43,Pune,28
44,Customer_44,Ahmedabad,42
45,Customer_45,Chennai,58
46,Customer_46,Pune,61
47,Customer_47,Hyderabad,67
48,Customer_48,Mumbai,32
49,Customer_49,Mumbai,69
50,Customer_50,Hyderabad,43
51,Customer_51,Chennai,22
52,Customer_52,Pune,54
53,Customer_53,Hyderabad,31
54,Customer_54,Ahmedabad,43
55,Customer_55,Ahmedabad,27
56,Customer_56,Chennai,26
57,Customer_57,Pune,65
58,Customer_58,Chennai,65
59,Customer_59,Kolkata,55
60,Customer_60,Kolkata,41
61,Customer_61,Pune,26
62,Customer_62,Ahmedabad,23
63,Customer_63,Mumbai,25
64,Customer_64,Bengaluru,58
65,Customer_65,Bengaluru,68
66,Customer_66,Kolkata,56
67,Customer_67,Delhi,42
68,Customer_68,Kolkata,56
69,Customer_69,Ahmedabad,51
70,Customer_70,Chennai,53
71,Customer_71,Mumbai,61
72,Customer_72,Delhi,61
73,Customer_73,Chennai,67
74,Customer_74,Hyderabad,25
75,Customer_75,Chennai,45
76,Customer_76,Bengaluru,47
77,Customer_77,Mumbai,64
78,Customer_78,Chennai,50
79,Customer_79,Bengaluru,50
80,Customer_80,Delhi,58
81,Customer_81,Chennai,58
82,Customer_82,Pune,27
83,Customer_83,Hyderabad,66
84,Customer_84,Bengaluru,52
85,Customer_85,Mumbai,56
86,Customer_86,Hyderabad,49
87,Customer_87,Mumbai,25
88,Customer_88,Hyderabad,69
89,Customer_89,Chennai,33
90,Customer_90,Mumbai,33
91,Customer_91,Delhi,23
92,Customer_92,Ahmedabad,70
93,Customer_93,Delhi,66
94,Customer_94,Bengaluru,26
95,Customer_95,Ahmedabad,53
96,Customer_96,Bengaluru,34
97,Customer_97,Kolkata,31
98,Customer_98,Pune,63
99,Customer_99,Chennai,43
100,Customer_100,Hyderabad,46
101,Customer_101,Ahmedabad,25
102,Customer_102,Pune,32
103,Customer_103,Delhi,39
104,Customer_104,Mumbai,55
105,Customer_105,Pune,55
106,Customer_106,Pune,18
107,Customer_107,Delhi,63
108,Customer_108,Mumbai,32
109,Customer_109,Delhi,20
110,Customer_110,Hyderabad,22
111,Customer_111,Pune,35
112,Customer_112,Ahmedabad,31
113,Customer_113,Bengaluru,64
114,Customer_114,Ahmedabad,33
115,Customer_115,Ahmedabad,69
116,Customer_116,Kolkata,30
117,Customer_117,Delhi,24
118,Customer_118,Kolkata,40
119,Customer_119,Kolkata,44
120,Customer_120,Ahmedabad,64
121,Customer_121,Mumbai,61
122,Customer_122,Delhi,21
123,Customer_123,Kolkata,64
124,Customer_124,Hyderabad,69
125,Customer_125,Delhi,33
126,Customer_126,Pune,30
127,Customer_127,Ahmedabad,26
128,Customer_128,Kolkata,29
129,Customer_129,Chennai,47
130,Customer_130,Pune,22
131,Customer_131,Ahmedabad,69
132,Customer_132,Delhi,21
133,Customer_133,Mumbai,23
134,Customer_134,Pune,28
135,Customer_135,Kolkata,49
136,Customer_136,Ahmedabad,31
137,Customer_137,Kolkata,21
138,Customer_138,Bengaluru,42
139,Customer_139,Mumbai,42
140,Customer_140,Chennai,68
141,Customer_141,Ahmedabad,36
142,Customer_142,Kolkata,62
143,Customer_143,Ahmedabad,27
144,Customer_144,Pune,36
145,Customer_145,Pune,21
146,Customer_146,Mumbai,65
147,Customer_147,Hyderabad,21
148,Customer_148,Mumbai,55
149,Customer_149,Ahmedabad,50
150,Customer_150,Bengaluru,21
151,Customer_151,Delhi,29
152,Customer_152,Delhi,56
153,Customer_153,Delhi,61
154,Customer_154,Pune,43
155,Customer_155,Delhi,54
156,Customer_156,Pune,55
157,Customer_157,Mumbai,57
158,Customer_158,Delhi,44
159,Customer_159,Hyderabad,34
160,Customer_160,Pune,60
161,Customer_161,Hyderabad,33
162,Customer_162,Chennai,43
163,Customer_163,Bengaluru,60
164,Customer_164,Chennai,47
165,Customer_165,Hyderabad,66
166,Customer_166,Delhi,18
167,Customer_167,Ahmedabad,57
168,Customer_168,Delhi,22
169,Customer_169,Pune,50
170,Customer_170,Chennai,26
171,Customer_171,Hyderabad,22
172,Customer_172,Pune,41
173,Customer_173,Chennai,28
174,Customer_174,Ahmedabad,52
175,Customer_175,Chennai,57
176,Customer_176,Mumbai,60
177,Customer_177,Chennai,60
178,Customer_178,Delhi,26
179,Customer_179,Chennai,25
180,Customer_180,Delhi,65
181,Customer_181,Bengaluru,35
182,Customer_182,Chennai,56
183,Customer_183,Pune,63
184,Customer_184,Hyderabad,31
185,Customer_185,Chennai,50
186,Customer_186,Ahmedabad,34
187,Customer_187,Mumbai,23
188,Customer_188,Kolkata,35
189,Customer_189,Mumbai,18
190,Customer_190,Hyderabad,67
191,Customer_191,Bengaluru,58
192,Customer_192,Chennai,28
193,Customer_193,Ahmedabad,53
194,Customer_194,Kolkata,53
195,Customer_195,Mumbai,25
